BusinessID,Name,Cuisine,Address,Coordinates,NumberOfReviews,Rating,ZipCode
BPyt7S9TdcR1u571iacg7g,The Kati Roll Company,Indian,49 W 39th St,"40.752819, -73.984587",1677,3.5,10018
dOQjniOt57mI9l9CmrCSJQ,Curry India,Indian,148 W 49th St,"40.76006, -73.98306",194,4.0,10019
DZE4ThXa7d0kSXnR3Hb-kg,Junoon,Indian,19 W 24th St,"40.74299, -73.990462",1754,3.5,10010
FXDMFBM-rV2s5MHzA33d2g,Bombay Grill House,Indian,764 9th Ave,"40.76421, -73.988101",325,4.0,10019
T1CRoZ-f-hwrjdkBvt7_kg,Indian Tanpura,Indian,564 Amsterdam Ave,"40.78869, -73.97468",190,4.0,10024
b1_E7HffjgCEMGetIDn1uw,Bombay Curry Co.,Indian,48 W 27th St,"40.744952, -73.990392",1,5.0,10001
IU6pOHR8Re8kvSn0mzhPHg,Jaz Indian Cuisine,Indian,813 Ninth Ave,"40.7659, -73.98741",150,4.5,10019
Va_mnsEvBghHXvc7uZIWJQ,Spice Symphony,Indian,182 Lexington Ave,"40.744722, -73.981202",675,4.0,10016
1KGvtMU7VBcdlvxo2brdQg,Clove Indian Restaurant I,Indian,1592 Amsterdam Ave,"40.8212624, -73.9506836",332,4.0,10031
JSX6Pk56w4BhgO8eSvCrKg,aRoqa,Indian,206 9th Ave,"40.746065, -74.001254",402,4.0,10011
Q7wFlNr4OFU0eCJXcOmopg,Bombay's Indian Restaurant,Indian,60 Pearl St,"40.70344, -74.01109",263,3.5,10004
3uEkZEAp7biQEtt0S7W1Vg,Vatan Indian Vegetarian,Indian,409 3rd Ave,"40.74236, -73.9803699",875,4.0,10016
EKY8DwZVWpkgv6IWrepbWg,Namaste,Indian,195 5th Ave,"40.67673, -73.98009",334,4.5,11217
CVpha6hKVu_r1lx6JxNIPg,Veeray da Dhaba,Indian,222 1st Ave,"40.730819, -73.982723",109,4.5,10009
VC1udoc_sbHdFaBr0-bMsA,Bombay Chowk,Indian,1378 1st Ave,"40.76873, -73.9549",174,4.0,10021
iXSuNKKUBIrBX7zUerlQDQ,Benares,Indian,45 Murray St,"40.71415, -74.009209",654,4.0,10007
w2-VGvlBCMYo9ko8Y_PzAw,Masala King,Indian,64 E 34th St,"40.747176, -73.981957",282,4.0,10016
sCHiXF4mZcsiY8_cBHNiqw,deep indian kitchen - indikitch,Indian,25 W 23rd St,"40.7422142028809, -73.9904403686523",747,4.0,10010
